Feature,foci_av_emotionSPMfinal_ALE_resliced.nii
influences,0.0215
information,0.0874
inhibit,-0.0609
inhibition,-0.0494
inhibitory,-0.0342
inhibitory control,-0.0211
initial,0.0014
initially,-0.0073
initiation,-0.0662
injury,-0.0819
input,0.0384
inputs,0.0138
insight,-0.0189
insights,0.0458
instead,0.0169
instructed,0.0115
instruction,0.0077
instructions,0.0058
insula,0.0231
insula anterior,0.0206
insula inferior,0.0215
insular,-0.0346
insular cortex,-0.0354
intact,0.0505
integrate,0.0344
integrated,0.0426
integrating,0.046
integration,0.1928
integrative,0.0992
integrity,-0.11
intelligence,-0.0458
intended,0.0169
intense,0.0251
intensities,-0.0268
intensity,-0.0057
intention,0.0126
intentional,0.039
intentions,0.0542
inter,-0.0594
interact,0.0463
interacting,0.0287
interaction,0.0872
interactions,0.1061
interactive,0.0424
interestingly,-0.0
interference,-0.0897
interhemispheric,-0.0522
intermediate,-0.0288
internal,-0.0613
internal capsule,-0.0865
internally,-0.0162
interpersonal,0.0713
interplay,0.0115
interpret,0.0374
interpretation,0.0369
interpreted,0.0064
interval,-0.0709
intervals,-0.0275
intervention,0.0022
interventions,-0.0037
intra,-0.0253
intraparietal,-0.0709
intraparietal sulcus,-0.0792
intrinsic,0.0058
introduced,-0.0572
introduction,0.015
invasive,-0.01
inverse,0.0147
inversely,0.0021
inversely correlated,-0.0192
investigates,0.0273
investigating,0.055
investigation,-0.0006
investigations,-0.0201
involve,-0.0302
involved,0.0301
involvement,-0.0332
involves,0.0565
involving,-0.0277
ipl,-0.0181
ips,-0.0693
ipsilateral,-0.0736
iq,-0.043
irrelevant,0.0173
irrespective,0.0855
isolate,-0.0255
isolated,0.0881
issue,-0.0082
issues,-0.028
item,-0.0176
items,-0.0138
iv,-0.0819
joint,-0.0229
judge,-0.0122
judged,-0.0285
judgment,-0.0072
judgment task,-0.01
judgments,-0.0184
junction,0.0474
junction tpj,0.0302
just,0.0075
key,0.0091
key role,0.0013
kinds,-0.0216
know,0.0758
knowledge,0.0278
known,0.0611
known involved,0.0345
labeling,0.0312
lack,0.0579
lacking,0.0013
language,0.0783
language comprehension,0.1282
languages,-0.0116
large,-0.0184
large scale,0.0726
largely,0.0249
largely unknown,0.0188
larger,-0.038
late,-0.026
latencies,0.0018
latency,-0.0042
later,0.0349
lateral,-0.0295
lateral frontal,-0.0367
lateral medial,-0.0008
lateral occipital,-0.018
lateral orbitofrontal,0.0129
lateral parietal,-0.0139
lateral prefrontal,-0.0961
lateral temporal,0.1196
laterality,0.0204
lateralization,0.0644
lateralized,0.045
lead,-0.0531
leading,-0.0053
leads,-0.0056
learn,-0.0218
learned,0.0089
learning,-0.0421
learning task,-0.0132
led,-0.02
length,-0.0243
lesion,-0.0405
lesions,-0.0564
lesser,0.0547
letter,-0.0397
letters,-0.0327
level,0.0666
level bold,0.0313
level signal,0.0124
levels,0.0049
lexical,0.0354
lexical decision,-0.0141
life,0.0505
light,0.055
like,0.0578
likelihood,0.0219
likelihood estimation,0.0782
likely,-0.0185
limb,-0.0761
limbic,0.1001
limitations,-0.0519
limited,-0.0265
line,0.0011
linear,-0.0526
linear model,-0.0372
linearly,-0.0226
lines,-0.0245
lingual,-0.0008
lingual gyrus,-0.0177
linguistic,0.1047
link,0.0002
linked,0.0134
linking,-0.0037
links,-0.0145
list,0.0081
listened,0.0992
listeners,0.0866
listening,0.1343
literature,0.023
little,0.0334
little known,0.0243
load,-0.0508
lobe,0.0661
lobe mtl,0.0943
lobes,0.045
lobule,-0.1242
lobule ipl,-0.0159
lobules,-0.1095
local,-0.0326
localization,-0.0371
localize,0.013
localized,-0.0389
located,-0.0631
location,-0.0379
locations,-0.0783
locus,0.0182
long,-0.0075
long term,0.0285
longer,-0.071
longitudinal,-0.0708
longitudinal fasciculus,-0.0644
loop,-0.0073
loss,-0.0214
losses,-0.0449
low,0.0054
low frequency,-0.0351
low high,0.0218
low level,0.0947
lower,-0.111
m1,-0.0476
machine,0.0114
magnetic,-0.006
magnetic resonance,0.0095
magnetic stimulation,-0.0666
magnetoencephalography,-0.0057
magnitude,-0.0204
main,-0.0295
main effect,-0.0304
mainly,-0.0055
maintain,-0.0393
maintained,-0.0183
maintaining,-0.0867
maintenance,-0.0511
major,-0.0179
major depression,-0.0279
major depressive,0.0127
majority,0.0492
make,-0.0445
makes,0.0162
making,-0.1055
male,-0.0184
male female,0.036
males,-0.0044
manipulated,0.0182
manipulating,-0.0043
manipulation,-0.072
manipulations,-0.0008
manner,-0.026
manual,-0.017
map,-0.0283
mapped,-0.0524
mapping,-0.0439
maps,-0.0367
marked,0.0385
marker,-0.0105
markers,-0.0365
masked,0.0426
mass,-0.0475
match,-0.0644
matching,0.0482
matching task,0.0465
material,0.0498
materials,0.0031
matrix,-0.0093
matter,-0.1078
matter density,-0.0425
matter gm,-0.0507
matter integrity,-0.0915
matter volume,-0.0794
matter volumes,-0.0528
matter wm,-0.1079
maturation,-0.0286
maximal,-0.0133
maximum,-0.0367
mci,0.0202
md,-0.051
mdd,0.0113
mean,-0.1056
mean age,-0.0278
mean diffusivity,-0.0749
meaning,0.0838
meaningful,0.0497
means,0.0017
measure,-0.0733
measurement,0.0019
measurements,-0.0476
measures,-0.0447
measuring,-0.0163
mechanism,-0.0166
mechanisms,0.003
mechanisms involved,0.0184
mechanisms underlying,-0.003
medial,0.0803
medial frontal,-0.0377
medial lateral,0.0136
medial orbitofrontal,0.0304
medial parietal,-0.0368
medial prefrontal,0.0643
medial superior,-0.0358
medial temporal,0.1316
median,-0.0229
mediate,0.0323
mediated,0.0093
mediates,-0.0184
mediating,0.0571
medication,-0.0457
meg,-0.0151
memories,0.0762
memory,-0.0069
memory encoding,0.0582
memory formation,0.041
memory load,-0.064
memory performance,0.0124
memory processes,0.0078
memory retrieval,0.0356
memory task,0.0098
memory tasks,-0.0254
memory wm,-0.0792
men,-0.0033
men women,-0.0002
mental,-0.0141
mental imagery,-0.0162
mental state,0.0531
mental states,0.1101
mentalizing,0.0751
mesial,-0.0189
met,-0.0182
metabolic,-0.0009
metabolism,-0.0694
method,-0.0554
methodological,-0.0192
methodology,-0.0474
methodology principal,-0.0191
methods,-0.0456
methods functional,-0.0112
mg,-0.0289
microstructural,-0.0728
microstructure,-0.0816
mid,-0.0061
midbrain,0.0703
middle,0.0608
middle cingulate,0.0261
middle frontal,-0.0724
middle inferior,0.0108
middle occipital,-0.0033
middle superior,0.0167
middle temporal,0.1343
midline,-0.0219
mild,0.0278
mild cognitive,0.0293
min,-0.0045
mind,0.0853
mind tom,0.0728
minimal,-0.0133
mirror,0.0221
mirror neuron,0.0483
mixed,-0.0379
mm,-0.0812
mnemonic,0.03
modal,0.0611
modalities,0.0353
modality,0.0901
mode,0.0026
mode network,-0.0065
model,-0.0647
modeling,-0.0229
models,0.0515
moderate,-0.0308
modified,-0.0013
modulate,0.0242
modulated,0.0145
modulates,-0.0179
modulating,0.0165
modulation,0.0288
modulations,0.0205
modulatory,0.0151
monetary,-0.0338
monetary reward,-0.0109
money,0.01
monitor,0.0036
monitored,0.0205
monitoring,-0.0626
monkey,-0.0341
monkeys,-0.0746
months,-0.0207
mood,0.0622
moral,0.0708
morphological,-0.0821
morphology,-0.0386
morphometric,-0.044
morphometry,-0.0646
morphometry vbm,-0.0326
motion,0.0721
motivation,-0.0181
motivational,0.0159
motor,-0.0852
motor control,-0.0676
motor cortex,-0.0547
motor function,-0.0792
motor imagery,-0.0948
motor performance,-0.0297
motor pre,-0.0682
motor premotor,-0.073
motor response,0.0119
motor responses,-0.0302
motor sma,-0.0361
motor task,-0.0456
movement,-0.0712
movements,-0.0544
moving,-0.0014
mpfc,0.051
mr,-0.0525
ms,-0.0238
mt,-0.0162
mtg,0.1151
mtl,0.0902
multi,-0.0214
multimodal,0.1107
multiple,-0.0617
multiple comparisons,-0.0521
multiple sclerosis,-0.0443
multisensory,0.0234
multivariate,0.0002
muscle,-0.0651
music,0.1525
musical,0.108
naive,-0.0448
names,0.034
naming,-0.0253
native,0.0531
natural,0.1209
naturalistic,0.0665
nature,0.0198
navigation,-0.0138
near,-0.0193
necessary,-0.0253
need,-0.0101
needed,-0.0465
needs,0.0037
negative,0.0642
negative correlation,-0.0685
negative correlations,-0.0532
negative emotional,0.0939
negative positive,0.0526
negatively,-0.0062
negatively correlated,-0.0132
negativity,0.0545
neocortical,0.0992
nerve,-0.0695
nervous,-0.0477
network,0.0616
network connectivity,-0.0268
network dmn,0.008
network involved,0.0288
networks,-0.0088
networks involved,0.0327
neuroanatomical,-0.0315
neuroanatomy,-0.0132
neurobiological,-0.0137
neurobiology,0.0285
neurocognitive,-0.0112
neurodegenerative,-0.0411
neurodevelopmental,-0.0378
neurological,-0.0862
neuron,0.0356
neuronal,-0.0353
neurons,-0.0486
neurophysiological,0.0149
neuropsychiatric,-0.0145
neuropsychological,-0.0139
neuroscience,-0.0227
neutral,0.2503
neutral faces,0.1265
neutral pictures,0.1104
neutral stimuli,0.1259
new,-0.0382
newly,-0.0203
nineteen,-0.0193
nociceptive,-0.0667
nodes,0.0463
nogo,-0.0574
noise,0.0697
non,0.0334
non human,0.0184
non invasive,-0.0142
nonverbal,0.1402
normal,-0.084
normal controls,-0.0435
normalization,-0.0812
normalized,-0.062
normally,-0.0089
notably,0.0235
noted,0.001
notion,0.0099
noun,-0.0107
nouns,0.024
novel,0.0322
novelty,0.0436
noxious,-0.0667
nuclei,-0.0584
nucleus,-0.0452
nucleus accumbens,0.0063
number,-0.0492
numbers,-0.0697
numerical,-0.069
numerous,0.0081
object,0.0093
object recognition,0.0421
objective,-0.0496
objects,0.0385
observation,0.0464
observations,0.0084
observer,0.034
observers,0.0185
observing,0.0708
obsessive,-0.0823
obsessive compulsive,-0.0777
obtain,-0.0049
obtained,-0.0394
occipital,-0.008
occipital cortex,0.0231
occipital gyrus,0.0396
occipital lobe,-0.0075
occipital parietal,-0.0535
occipital temporal,0.039
occipito,0.0079
occipito temporal,0.0235
occipitotemporal,0.0261
occur,0.0235
occurred,0.0165
occurrence,-0.0153
occurring,0.0017
occurs,-0.0194
ocd,-0.0594
oddball,0.0565
ofc,0.0429
offer,0.0108
offers,0.0177
old,-0.0565
older,-0.0353
older adults,-0.0367
olfactory,0.0299
ones,0.0216
ongoing,0.0047
online,-0.0218
onset,-0.0176
open,0.0485
operation,-0.0619
operations,-0.0532
opercularis,0.0121
operculum,-0.0266
opposed,-0.0293
opposite,-0.0263
optimal,-0.0065
optimized,-0.0403
optimized voxel,-0.0536
oral,0.0244
orbital,0.0542
orbitofrontal,0.0337
orbitofrontal cortex,0.045
order,-0.0054
organization,-0.0169
organized,-0.034
orientation,-0.0118
oriented,-0.0219
orienting,0.0149
origin,-0.0662
original,-0.0357
orthographic,0.0002
oscillations,-0.0529
outcome,-0.0018
outcomes,-0.0382
output,-0.0179
outside,-0.0415
overall,0.0489
overlap,-0.0283
overlapped,-0.0264
overlapping,-0.0023
overt,-0.0282
oxygen,0.0087
oxygen level,0.0061
oxygenation,0.048
oxygenation level,0.044
paced,-0.0149
pain,-0.0587
pain intensity,-0.0583
painful,-0.0754
pair,-0.0537
paired,0.0482
pairs,0.0272
pallidus,-0.0092
paper,-0.0306
paradigm,0.079
paradigms,0.0777
parahippocampal,0.0942
parahippocampal cortex,0.0525
parahippocampal gyrus,0.0889
parahippocampus,0.1051
paralimbic,0.0693
parallel,-0.0388
paralleled,-0.0099
parameter,-0.0302
parameters,-0.0111
parametric,-0.0537
parametric mapping,-0.0307
parametrically,0.0551
parietal,-0.1314
parietal cortex,-0.1101
parietal cortices,-0.0232
parietal frontal,-0.0394
parietal junction,0.0488
parietal lobe,-0.0717
parietal lobes,-0.0539
parietal lobule,-0.0943
parietal lobules,-0.0493
parietal network,-0.0597
parietal occipital,-0.0294
parietal prefrontal,0.0155
parietal temporal,-0.0524
parieto,-0.0729
parieto occipital,-0.0667
parkinson,-0.0835
parkinson disease,-0.0809
pars,0.0336
pars opercularis,0.0121
partial,-0.0087
partially,-0.0007
participant,-0.0032
participate,0.0061
participated,-0.027
particular,0.0517
particularly,-0.0173
partly,-0.0097
parts,-0.026
passive,0.0567
passive viewing,0.0846
passively,0.1037
past,-0.0088
pathogenesis,-0.0371
pathological,0.0003
pathology,-0.039
pathophysiological,-0.0581
pathophysiology,-0.035
pathway,0.0193
pathways,-0.0285
patient,-0.0362
patient group,-0.0104
patient groups,-0.005
pattern,-0.0045
patterns,-0.0083
pcc,-0.0103
pd,-0.0701
peak,-0.0485
peaks,0.0307
people,0.0789
perceive,0.0007
perceived,0.0517
perceiving,0.0823
perception,0.1673
perceptual,0.0737
perform,-0.0318
performance,-0.1271
performance task,-0.0328
performances,-0.0287
performing,-0.0302
perfusion,-0.0169
periaqueductal,0.0878
period,-0.0091
periods,0.0082
peripheral,-0.0198
perirhinal,0.0722
perisylvian,0.0269
persistent,0.0129
person,0.0943
personal,0.0389
personality,0.0527
personality traits,0.0004
persons,0.0047
perspective,0.0011
pet,0.0033
pfc,-0.0778
pharmacological,-0.0265
phase,-0.0434
phases,-0.008
phenomena,-0.0047
phenomenon,-0.0135
phenotype,-0.0373
phonological,0.0258
photographs,0.039
physical,0.0057
physiological,0.0328
picture,0.0931
pictures,0.1535
pitch,0.0435
place,0.0047
placebo,-0.0193
placebo controlled,-0.0319
planning,-0.056
planum,0.1089
planum temporale,0.12
plasticity,-0.0712
play,0.0227
play important,-0.003
play role,-0.025
played,-0.0265
playing,0.0285
plays,0.0294
plays important,0.0218
plays role,0.0205
pleasant,0.084
plus,-0.0001
point,0.0066
points,-0.017
pole,0.1533
polymorphism,-0.0502
pons,-0.0209
poor,-0.0737
poorer,-0.0133
poorly,-0.0225
poorly understood,-0.0286
population,-0.0276
populations,-0.0391
portion,0.0198
portions,0.0217
position,-0.0346
positive,0.0567
positive correlation,-0.0029
positive correlations,-0.0483
positive negative,0.0471
positively,-0.0274
positively correlated,-0.028
positron,-0.0084
positron emission,-0.0084
possibility,0.0169
possible,-0.0413
possibly,0.0544
post,-0.034
post hoc,-0.0494
postcentral,-0.0649
postcentral gyrus,-0.0597
posterior,0.0808
posterior anterior,0.0645
posterior cingulate,0.0192
posterior inferior,-0.0033
posterior insula,-0.0079
posterior medial,-0.0029
posterior middle,0.1087
posterior parietal,-0.0907
posterior superior,0.2054
posterior temporal,0.1249
posttraumatic,0.0293
posttraumatic stress,0.035
potential,-0.001
potentially,-0.0415
potentials,-0.0349
power,-0.0406
powerful,0.0207
ppc,-0.0534
practice,-0.0191
pre,-0.0657
pre sma,-0.0627
pre supplementary,-0.0711
preceded,0.0097
preceding,0.0157
precentral,-0.0434
precentral gyrus,-0.0083
precise,-0.0021
precuneus,-0.0546
precuneus posterior,0.0079
predict,0.0235
predicted,-0.008
predicting,0.0265
prediction,-0.012
prediction error,-0.0162
predictions,0.0503
predictive,-0.004
predicts,0.0015
predominantly,0.0087
preference,0.0111
preferences,0.0163
preferential,0.0224
preferentially,0.0687
prefrontal,-0.0655
prefrontal anterior,-0.0295
prefrontal cortex,-0.0675
prefrontal cortical,-0.0462
prefrontal cortices,-0.0588
prefrontal parietal,-0.062
prefrontal temporal,0.0542
preliminary,-0.0143
premotor,-0.0467
premotor cortex,-0.0276
premotor cortices,-0.0209
premotor parietal,-0.0325
preparation,-0.0346
preparatory,-0.0671
presence,0.016
presentation,0.0589
presentations,0.04
presented,0.1338
presenting,0.0398
preserved,-0.0294
press,-0.0404
pressure,-0.0364
presumably,0.0035
previous,-0.0037
previous functional,0.0126
previous reports,0.0022
previous research,-0.0235
previous shown,0.0144
previous work,-0.0129
primarily,-0.0519
primary,-0.0519
primary auditory,0.0807
primary motor,-0.0539
primary secondary,-0.0144
primary sensorimotor,-0.0639
primary somatosensory,-0.1041
primary visual,-0.0078
primate,-0.0091
primates,-0.0067
prime,0.0043
priming,0.0222
principal,-0.0366
principle,0.031
prior,-0.0344
priori,-0.0132
probabilistic,-0.0129
probability,0.0141
probably,-0.0388
probe,-0.0375
problem,-0.0365
problems,-0.042
procedure,-0.0243
procedures,-0.0601
process,-0.0471
processed,0.1051
processes,0.0035
processes involved,-0.0161
processes underlying,-0.0094
produce,-0.0227
produced,0.043
produces,0.0219
producing,0.0698
production,0.0333
profile,0.0224
profiles,0.0671
progression,0.0028
progressive,-0.0194
projection,-0.0427
projections,-0.0223
prolonged,0.0107
prominent,-0.0753
pronounced,0.0312
proper,-0.0133
properties,0.0878
proportion,-0.0249
proposal,0.025
propose,-0.0397
proposed,-0.0541
prospective,-0.0039
protocol,-0.0216
provide,0.0127
provide evidence,-0.0098
provide new,0.0191
provided,-0.0083
provides,0.0024
provides evidence,-0.0279
providing,0.0352
psts,0.2155
psychiatric,0.0481
psychiatric disorders,0.079
psychological,0.0032
psychopathology,0.0292
psychophysical,0.0216
psychophysiological,0.0215
psychophysiological interaction,0.0119
psychosis,-0.0297
psychotic,-0.0021
ptsd,0.0379
published,0.0229
pure,0.0053
purely,-0.054
purpose,-0.0729
putamen,-0.0533
putative,-0.0027
quality,0.0143
quantified,-0.0355
quantify,-0.0402
quantitative,-0.0176
question,-0.0286
questionnaire,-0.0057
questions,0.0478
radial,-0.0929
random,-0.0388
random effects,0.0125
randomized,-0.02
randomly,0.049
range,-0.0408
ranging,-0.0064
rapid,-0.0245
rapidly,0.0565
rare,-0.0286
rarely,0.0097
rate,0.0005
rated,0.0487
rates,0.0075
rating,-0.0064
rating scale,-0.0647
ratings,0.0877
ratio,-0.0451
reach,-0.0582
reaching,-0.0422
reaction,-0.0003
reaction time,-0.0268
reaction times,-0.0049
reactions,0.0241
reactivity,0.0763
read,0.0061
readers,-0.0146
reading,0.0262
real,0.0517
real time,0.0312
reasoning,-0.063
recall,0.0427
received,-0.092
receiving,0.0307
recently,-0.027
receptor,-0.0339
receptors,-0.0672
recognition,0.0885
recognition memory,0.0019
recognition task,0.0504
recognize,0.106
recognized,0.0414
recognizing,0.0687
recollection,-0.0022
recorded,0.0136
recording,0.0056
recordings,-0.0032
recovery,-0.0187
recruit,0.0517
recruited,0.0004
recruitment,-0.0011
recruits,0.0099
red,-0.0347
reduce,-0.0216
reducing,0.028
reduction,-0.0583
reductions,-0.0371
reference,0.0265
referential,0.0373
referred,0.0016
refers,-0.0581
reflect,0.003
reflected,0.0695
reflecting,0.0294
reflects,-0.007
regard,0.0124
regarding,0.0158
regardless,0.0541
regional,-0.0629
regional cerebral,-0.0072
regional gray,-0.0654
regional homogeneity,-0.0589
regular,0.0064
regulate,0.0539
regulating,-0.0006
regulation,0.0437
regulatory,0.0272
rehearsal,-0.0328
reho,-0.0692
reinforcement,0.0246
relate,-0.0349
relating,0.0132
relation,0.0056
relational,-0.0194
relations,-0.051
relationship,-0.0188
relationships,-0.0234
relatively,0.0018
relatives,-0.0457
relevance,0.0062
relevant,0.0646
relevant information,-0.0085
reliability,-0.0306
reliable,0.0152
reliably,0.0295
relies,-0.0283
rely,0.009
remain,0.0025
remain unclear,-0.0206
remained,-0.0149
remaining,0.0426
remember,0.0004
remembered,0.0071
remote,0.0195
reorganization,-0.0682
repeat,-0.0491
repeated,-0.028
repeatedly,-0.0581
repetition,0.0311
repetition suppression,0.0146
repetitive,-0.0468
replicated,0.0064
report,0.0361
reported,0.0044
reporting,-0.0336
reports,-0.0024
represent,-0.0703
representation,-0.05
representations,-0.0167
represented,-0.0365
representing,0.0753
represents,0.0092
require,-0.0025
required,-0.0584
requirements,0.0088
requires,0.002
requiring,-0.1022
research,0.0199
residual,-0.0024
resolution,-0.0245
resolve,-0.0311
resonance,0.01
resonance correlates,-0.0547
resonance experiment,0.038
resonance healthy,-0.005
resonance identify,-0.0092
resonance images,-0.0278
resonance measure,-0.0327
resonance performing,0.0292
resonance scans,-0.0438
resources,-0.0344
respect,0.0467
respective,-0.0234
respectively,-0.0453
respond,0.0386
responded,0.0926
responding,0.0667
responds,0.0885
response,0.0789
response conflict,-0.0768
response inhibition,-0.0338
response selection,-0.0449
response time,-0.023
response times,-0.0269
responses,0.1293
responsible,0.0369
responsive,0.0976
responsiveness,0.023
rest,-0.0281
resting,-0.0457
resting state,-0.0437
restricted,-0.0154
result,-0.0134
resulted,0.0072
resulting,0.0255
retention,-0.0119
retrieval,0.0263
retrieved,0.0455
retrosplenial,0.042
retrosplenial cortex,0.0174
reveal,-0.0325
revealing,0.0546
reveals,0.0155
reversal,-0.0434
reverse,0.0002
reversed,0.0552
review,-0.0032
reward,0.0064
reward anticipation,0.0237
rewarding,0.0016
rewards,-0.0515
rhythm,-0.0227
rich,0.1166
rise,-0.015
risk,-0.0679
risk factor,-0.0198
robust,0.0204
roi,-0.0089
rois,-0.0166
role,0.0562
roles,0.0513
rostral,-0.0023
rostral anterior,0.0003
rotation,-0.0528
rs,-0.0338
rt,-0.0898
rule,-0.0799
rules,-0.0488
run,0.0034
s1,-0.0718
saccade,-0.0593
saccades,-0.0444
sad,0.1505
salience,0.0669
salient,0.1126
sample,0.001
samples,-0.0634
sampling,0.0303
scale,-0.0198
scales,-0.0165
scalp,-0.0268
scan,0.0573
scanned,0.0268
scanned using,0.0039
scanner,-0.0214
scanning,0.0343
scans,-0.0594
scene,0.088
scenes,0.1345
schizophrenia,-0.0272
schizophrenic,0.0186
sclerosis,-0.0417
score,-0.0685
scores,-0.0176
sd,-0.0004
se,-0.0304
search,0.0446
second,0.0251
secondary,-0.0418
secondary somatosensory,-0.078
sectional,-0.0111
seed,-0.042
seeking,-0.0144
seen,0.0143
segmentation,-0.0098
segregated,-0.0317
segregation,0.0173
select,-0.0559
selected,-0.0477
selection,-0.105
selective,0.0885
selective attention,0.017
selectively,0.0522
selectivity,0.0668
self,0.0273
self referential,0.0374
self reported,0.0397
semantic,0.0798
semantic information,0.0097
semantic memory,0.0711
semantically,0.0173
semantics,0.0255
sensation,-0.0612
sense,-0.0105
sensitive,0.0401
sensitivity,0.0496
sensorimotor,-0.0616
sensorimotor cortex,-0.0483
sensory,0.003
sensory information,0.0095
sensory motor,-0.0353
sentence,0.0586
sentence comprehension,0.0038
sentences,0.092
separable,0.0292
separate,-0.0098
separated,-0.0853
separately,0.016
separation,0.0356
sequence,-0.0723
sequences,-0.012
sequential,-0.0515
serial,-0.0276
series,-0.0002
serotonin,0.0016
serve,-0.003
served,-0.0053
serves,-0.0115
session,0.025
sessions,-0.016
set,-0.0186
sets,-0.0084
setting,-0.0058
seven,-0.0842
seventeen,0.0324
severe,-0.084
severity,-0.0413
sex,-0.0204
sexual,0.0262
sham,0.0039
shape,-0.0628
shaped,0.004
shapes,0.0167
share,-0.0302
shared,-0.0343
shed,0.0395
shed light,0.0515
shift,0.0269
shifted,-0.002
shifting,-0.0331
shifts,0.0343
short,0.0575
short term,0.0006
shorter,-0.0209
showing,0.0634
shown,-0.0498
shows,-0.0363
si,-0.0871
sided,-0.0309
sign,0.0502
signal,0.0632
signal change,0.0272
signal intensity,-0.0211
signal task,0.0513
signaling,0.0214
signals,0.0684
significance,0.0187
signs,-0.0142
sii,-0.0573
silent,0.0061
similarities,-0.0309
similarity,0.0132
similarly,-0.0269
simple,-0.041
simply,0.0035
simulated,-0.0769
simulation,0.0163
simultaneous,0.0398
simultaneously,0.0079
single,-0.0074
single subject,0.0492
single trial,-0.0185
site,-0.0115
sites,0.0184
situation,0.0558
situations,0.0275
sixteen,-0.0716
size,-0.0625
sizes,0.0571
skill,0.0098
skills,-0.0128
skin,-0.0135
skin conductance,0.0461
sleep,-0.0133
slow,0.0069
slower,-0.0043
sma,-0.0602
small,-0.0251
smaller,-0.0213
social,0.1595
social cognition,0.1087
social cognitive,0.0948
social interaction,0.1268
social interactions,0.0599
socially,0.0951
software,-0.0288
solving,-0.0665
somatosensory,-0.0829
somatosensory cortex,-0.0934
somatosensory cortices,-0.049
sought,-0.0021
sound,0.08
sounds,0.1401
source,-0.0383
sources,0.0127
space,-0.0313
span,-0.0283
sparse,0.0421
spatial,-0.1189
spatial attention,-0.033
spatial information,-0.018
spatial statistics,-0.0994
spatial temporal,-0.0265
spatially,-0.0412
spatiotemporal,-0.0017
speaker,0.1384
speakers,0.0157
speaking,0.0134
special,0.0351
specialization,0.0188
specialized,0.0026
species,-0.001
specifically,0.0163
specificity,0.09
specified,-0.0226
spectral,0.0304
spectrum,0.0732
spectrum disorders,0.0723
speech,0.1331
speech perception,0.0631
speech production,0.0385
speed,-0.0805
spin,-0.0309
spinal,-0.0484
spl,-0.059
spm,-0.0151
spoken,0.1649
spontaneous,-0.0025
stable,0.0068
stage,-0.0282
stages,0.0098
standard,-0.0123
standardized,-0.0007
state,0.0037
state functional,-0.0311
state networks,-0.0192
states,0.0754
static,0.1289
statistics,-0.0716
status,0.0389
step,-0.0277
stg,0.1324
stimulated,-0.0405
stimulation,-0.0759
stimulation tms,-0.0404
stimuli,0.1845
stimuli presented,0.066
stimulus,0.0775
stimulus driven,-0.0041
stimulus response,-0.0708
stop,-0.0104
stop signal,0.0071
storage,-0.0236
stored,0.0332
strategic,-0.0379
strategies,-0.0693
strategy,-0.0534
stream,0.0275
streams,0.0442
strength,0.0284
stress,0.022
stress disorder,0.0341
striatal,-0.0656
striatum,-0.0059
striking,0.0077
stroke,-0.0645
strong,0.0695
strongest,0.0249
strongly,-0.0026
stroop,-0.0995
stroop task,-0.0876
structural,-0.0711
structural abnormalities,-0.057
structural functional,0.0059
structural magnetic,-0.0692
structure,-0.0184
structure function,-0.0279
structures,0.0833
structures involved,0.0139
sts,0.2828
studied,-0.0081
studying,0.0286
sub,0.0001
subcortical,0.0095
subcortical structures,0.0438
subgenual,-0.0008
subgroup,-0.0059
subject,-0.0126
subjective,0.0408
subregions,0.0092
subsequent,0.0429
subsequent memory,0.063
subsequently,0.0097
subserve,-0.0078
subserved,0.0282
subserving,-0.0327
subset,0.0029
substance,-0.0321
substantia,0.0221
substantial,0.0032
substantially,-0.0342
substrate,0.0657
substrates,0.0062
subtle,0.0126
subtraction,-0.046
success,0.0128
successful,0.0823
successfully,0.0052
successive,0.0106
suffering,-0.013
sufficient,-0.016
suggest,0.0184
suggested,0.0029
suggesting,-0.0268
suggests,0.0298
sulci,0.0108
sulcus,0.1251
sulcus ips,-0.0575
sulcus sts,0.254
summary,-0.0009
superior,0.1307
superior frontal,-0.0716
superior inferior,-0.0512
superior longitudinal,-0.0816
superior middle,0.0665
superior parietal,-0.0896
superior temporal,0.235
supplementary,-0.0832
supplementary motor,-0.0687
supported,0.0335
supporting,0.0268
supports,0.0225
suppressed,-0.0082
suppression,0.0239
supramarginal,0.0033
supramarginal gyrus,0.0031
surface,-0.0854
surprisingly,0.0216
surrounding,0.0086
susceptibility,-0.0046
sustained,0.0001
sustained attention,-0.0214
switch,-0.0317
switching,-0.0674
syllable,0.0292
symptom,-0.0211
symptom severity,-0.002
symptoms,-0.036
synaptic,-0.0426
synchronization,-0.0285
syndrome,-0.0554
syntactic,0.0303
systematic,0.0275
systematically,0.0318
systems,0.0319
t1,-0.0658
t1 weighted,-0.061
t2,-0.0216
tactile,-0.0699
taken,0.0207
taking,-0.0002
tapping,-0.0441
target,-0.0217
target detection,0.0053
targeted,-0.0078
targets,0.0033
task,-0.0813
task conditions,-0.0487
task demands,0.0092
task difficulty,-0.0176
task functional,0.0217
task induced,-0.0122
task involving,-0.0339
task irrelevant,0.0325
task performance,-0.0815
task positive,-0.005
task relevant,-0.0002
task required,-0.0494
task task,-0.0378
task using,-0.0079
tasks,-0.0781
technique,-0.0505
techniques,-0.0252
template,-0.0298
temporal,0.252
temporal cortex,0.1232
temporal cortices,0.039
temporal frontal,0.0718
temporal gyri,0.138
temporal gyrus,0.146
temporal inferior,0.0235
temporal lobe,0.1615
temporal lobes,0.1223
temporal occipital,0.0489
temporal parietal,0.0071
temporal pole,0.1793
